card_name,in_perc_of_decks,avg_copies,deck_winrate,times_played,url,CLASS,RARITY,CARDTYPE,COLLECTIBLE,ELITE,COST,HEALTH,ATK,BATTLECRY,HAS_DIAMOND_QUALITY,MAX_SIDEBOARD_CARDS,DISCOVER,DECK_RULE_MOD_DECK_SIZE,MANATHIRST,TAG_SCRIPT_DATA_NUM_1,ENCHANTMENT_BIRTH_VISUAL,ENCHANTMENT_IDLE_VISUAL,CARDRACE,FACTION,TAUNT,AttackVisualType,TITAN,DONT_PICK_FROM_SUBSETS,AFFECTED_BY_HEALING_DOES_DAMAGE,COUNTER,USE_DISCOVER_VISUALS,AURA,DEATHRATTLE,FREEZE,DECK_ACTION_COST,FORGE,COLLECTION_RELATED_CARD_DATABASE_ID,FORGES_INTO,TRIGGER_VISUAL,MINI_SET,DIVINE_SHIELD,TECH_LEVEL,IS_BACON_POOL_MINION,CHARGE,HAS_SIGNATURE_QUALITY,MULTI_CLASS_GROUP,MULTIPLE_CLASSES,COMBO,COST_UNHOLY,CANT_BE_DAMAGED,OVERLOAD,REBORN,RUSH,DREDGE,SPELLPOWER,KABAL,CORPSE,SECRET,ADJACENT_BUFF,WHELP,BONUSEFFECTS,MAGNETIC,ENTITY_TAG_THRESHOLD_TAG_ID,ENTITY_TAG_THRESHOLD_VALUE,FROZEN,WINDFURY,FAST_BATTLECRY,OUTCAST,COST_FROST,POISONOUS,DevState,IMP,TOPDECK,FINALE,QUEST,LIFESTEAL,JADE_GOLEM,JADE_LOTUS,OVERKILL,CARD_COSTS_HEALTH,CHOOSE_ONE,INFUSE,TAG_SCRIPT_DATA_NUM_2,COST_BLOOD,COLOSSAL,TRANSFORMED_FROM_CARD_VISUAL_TYPE,START_OF_GAME,DISPLAY_CARD_ON_MOUSEOVER,COLOSSAL_LIMB_ON_LEFT,STEALTH,TRADEABLE,COLLECTIONMANAGER_FILTER_MANA_EVEN,SILENCE,FRENZY,EMPOWER,SPELLBURST,CORRUPT,RITUAL,EVILZUG,DORMANT,DECK_RULE_COUNT_AS_COPY_OF_CARD_ID,DEATH_KNIGHT,PLAYER_TAG_THRESHOLD_TAG_ID,PLAYER_TAG_THRESHOLD_VALUE,ADAPT,HEROPOWER_DAMAGE,DISCARD_CARDS,INSPIRE,ECHO,HONORABLEKILL,ENRAGED,RECRUIT,GRIMY_GOONS,MAGNETIC_TO_RACE,OVERHEAL,MULTIPLY_BUFF_VALUE,TARGETING_ARROW_TYPE,IMMUNE_WHILE_ATTACKING,CORRUPTEDCARD,VOODOO_LINK,COLLECTIONMANAGER_FILTER_MANA_ODD,SPARE_PART,EXTRA_DEATHRATTLES_BASE,SPELLPOWER_FIRE,DURABILITY,SPELLPOWER_NATURE,MEGA_WINDFURY,CASTSWHENDRAWN,FORGETFUL,FINISH_ATTACK_SPELL_ON_DAMAGE
Aman'Thul,5.30%,1,56.10%,"8,300",https://hearthstone.fandom.com//wiki/Aman%27Thul,6.0,5.0,4.0,1.0,1.0,7.0,10.0,3.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loatheb,9.90%,1,57.50%,"7,400",https://hearthstone.fandom.com//wiki/Loatheb,12.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,,,,,,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneskin Armorer,3.50%,1.9,60.10%,"7,200",https://hearthstone.fandom.com//wiki/Stoneskin_Armorer,10.0,3.0,4.0,1.0,,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno Jackson,17.60%,1,58.50%,"6,900",https://hearthstone.fandom.com//wiki/Reno_Jackson,12.0,5.0,4.0,1.0,1.0,6.0,6.0,4.0,1.0,1.0,,,,,,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blademaster Okani,8.50%,1,58.60%,"6,800",https://hearthstone.fandom.com//wiki/Blademaster_Okani,12.0,5.0,4.0,1.0,1.0,4.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amalgam of the Deep,5.00%,1.7,60.80%,"6,800",https://hearthstone.fandom.com//wiki/Amalgam_of_the_Deep,12.0,4.0,4.0,1.0,,2.0,3.0,2.0,1.0,,,1.0,,,,,,26.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tour Guide,4.10%,1.6,55.20%,"6,400",https://hearthstone.fandom.com//wiki/Tour_Guide,12.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavern Shinyfinder,3.80%,1.7,63.30%,"6,200",https://hearthstone.fandom.com//wiki/Cavern_Shinyfinder,7.0,1.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brann Bronzebeard,9.50%,1,56.20%,"6,100",https://hearthstone.fandom.com//wiki/Brann_Bronzebeard,12.0,5.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chillfallen Baron,4.70%,1.8,55.20%,"5,900",https://hearthstone.fandom.com//wiki/Chillfallen_Baron,1.0,1.0,4.0,1.0,,3.0,2.0,2.0,1.0,,,,,,,,,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glacial Shard,3.90%,1.3,59.70%,"5,800",https://hearthstone.fandom.com//wiki/Glacial_Shard,12.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,,,,,,,0.0,0.0,18.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golganneth, the Thunderer",3.60%,1,65.80%,"5,700","https://hearthstone.fandom.com//wiki/Golganneth,_the_Thunderer",8.0,5.0,4.0,1.0,1.0,6.0,7.0,5.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watcher of the Sun,5.70%,1.2,53.40%,"5,300",https://hearthstone.fandom.com//wiki/Watcher_of_the_Sun,12.0,1.0,4.0,1.0,,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,95918.0,95918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Amplifier,5.30%,1,54.40%,"5,200",https://hearthstone.fandom.com//wiki/Audio_Amplifier,12.0,4.0,4.0,1.0,,2.0,3.0,2.0,1.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emperor Thaurissan,6.50%,1,50.40%,"5,200",https://hearthstone.fandom.com//wiki/Emperor_Thaurissan,12.0,5.0,4.0,1.0,1.0,6.0,5.0,5.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Vendor,3.50%,1.4,53.40%,"5,100",https://hearthstone.fandom.com//wiki/Armor_Vendor,12.0,3.0,4.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteous Protector,3.20%,1.9,64.50%,"5,100",https://hearthstone.fandom.com//wiki/Righteous_Protector,5.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliant Macaw,3.90%,1.3,60.10%,"4,900",https://hearthstone.fandom.com//wiki/Brilliant_Macaw,8.0,1.0,4.0,1.0,,3.0,3.0,3.0,1.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutanus the Devourer,7.10%,1,53.00%,"4,900",https://hearthstone.fandom.com//wiki/Mutanus_the_Devourer,12.0,5.0,4.0,1.0,1.0,7.0,4.0,4.0,1.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southsea Deckhand,2.80%,2,66.70%,"4,700",https://hearthstone.fandom.com//wiki/Southsea_Deckhand,12.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,0.0,0.0,23.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prismatic Elemental,3.30%,1.3,58.90%,"4,500",https://hearthstone.fandom.com//wiki/Prismatic_Elemental,4.0,4.0,4.0,1.0,,2.0,3.0,1.0,1.0,,,1.0,,,,,,18.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nerubian Vizier,3.50%,1.7,58.60%,"4,500",https://hearthstone.fandom.com//wiki/Nerubian_Vizier,12.0,1.0,4.0,1.0,,3.0,4.0,2.0,1.0,,,1.0,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sargeras, the Destroyer",2.70%,1,51.90%,"4,400","https://hearthstone.fandom.com//wiki/Sargeras,_the_Destroyer",9.0,5.0,4.0,1.0,1.0,9.0,12.0,6.0,1.0,,,,,,,,,15.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Primus,3.80%,1,54.10%,"4,400",https://hearthstone.fandom.com//wiki/The_Primus,1.0,5.0,4.0,1.0,1.0,8.0,9.0,7.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zola the Gorgon,7.80%,1,54.00%,"4,200",https://hearthstone.fandom.com//wiki/Zola_the_Gorgon,12.0,5.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imprisoned Horror,1.80%,1.9,59.90%,"4,200",https://hearthstone.fandom.com//wiki/Imprisoned_Horror,9.0,4.0,4.0,1.0,,9.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swashburglar,2.20%,1.6,55.10%,"4,000",https://hearthstone.fandom.com//wiki/Swashburglar,7.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,,,,,,,,,23.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Teacher,3.90%,1.4,58.30%,"4,000",https://hearthstone.fandom.com//wiki/School_Teacher,12.0,4.0,4.0,1.0,,4.0,4.0,4.0,1.0,,,1.0,,,,,,92.0,,,,,,,,,,,,,,72597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychic Conjurer,3.30%,1.3,59.30%,"4,000",https://hearthstone.fandom.com//wiki/Psychic_Conjurer,6.0,2.0,4.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wand Thief,2.50%,1.5,53.30%,"4,000",https://hearthstone.fandom.com//wiki/Wand_Thief,12.0,1.0,4.0,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,11.0,72.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ignis, the Eternal Flame",6.80%,1,53.80%,"3,900","https://hearthstone.fandom.com//wiki/Ignis,_the_Eternal_Flame",12.0,5.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight of Anointment,1.90%,1.6,61.30%,"3,900",https://hearthstone.fandom.com//wiki/Knight_of_Anointment,5.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distressed Kvaldir,2.40%,1.9,60.40%,"3,800",https://hearthstone.fandom.com//wiki/Distressed_Kvaldir,1.0,4.0,4.0,1.0,,2.0,2.0,3.0,,,,,,,,0.0,0.0,11.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selfish Shellfish,2.30%,1.6,49.80%,"3,800",https://hearthstone.fandom.com//wiki/Selfish_Shellfish,12.0,1.0,4.0,1.0,,4.0,7.0,7.0,,,,,,,,,,20.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Odyn, Prime Designate",3.10%,1,62.40%,"3,700","https://hearthstone.fandom.com//wiki/Odyn,_Prime_Designate",10.0,5.0,4.0,1.0,1.0,8.0,8.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaja'mite Creation,2.10%,1.6,56.00%,"3,600",https://hearthstone.fandom.com//wiki/Kaja%27mite_Creation,7.0,3.0,4.0,1.0,,2.0,2.0,3.0,1.0,,,1.0,,,,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taelan Fordring,5.10%,1,48.40%,"3,600",https://hearthstone.fandom.com//wiki/Taelan_Fordring,12.0,5.0,4.0,1.0,1.0,5.0,3.0,3.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Artificer,2.70%,1.4,58.30%,"3,600",https://hearthstone.fandom.com//wiki/Arcane_Artificer,4.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,,18.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Tech,2.30%,1.6,60.60%,"3,600",https://hearthstone.fandom.com//wiki/Instrument_Tech,12.0,1.0,4.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Watch Post,2.20%,1.5,51.50%,"3,400",https://hearthstone.fandom.com//wiki/Far_Watch_Post,12.0,1.0,4.0,1.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raza the Chained,3.60%,1,59.90%,"3,400",https://hearthstone.fandom.com//wiki/Raza_the_Chained,6.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaz'goroth,1.50%,1,60.70%,"3,400",https://hearthstone.fandom.com//wiki/Khaz%27goroth,10.0,5.0,4.0,1.0,1.0,6.0,4.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
